name_1006,upregulated,n
defense response to virus,TRUE,22
immune system process,TRUE,22
innate immune response,TRUE,22
response to bacterium,TRUE,16
response to virus,TRUE,16
cellular response to interferon-beta,TRUE,15
negative regulation of viral genome replication,TRUE,11
defense response,TRUE,8
positive regulation of interferon-beta production,TRUE,8
defense response to bacterium,TRUE,7
cellular response to lipopolysaccharide,TRUE,6
protein ubiquitination,TRUE,6
type I interferon signaling pathway,TRUE,6
cellular response to interferon-alpha,TRUE,5
cellular response to virus,TRUE,5
defense response to protozoan,TRUE,5
immune response,TRUE,5
negative regulation of cell population proliferation,TRUE,5
negative regulation of type I interferon-mediated signaling pathway,TRUE,5
positive regulation of tumor necrosis factor production,TRUE,5
response to interferon-gamma,TRUE,5
signal transduction,TRUE,5
antiviral innate immune response,TRUE,4
cytokine-mediated signaling pathway,TRUE,4
defense response to Gram-negative bacterium,TRUE,4
defense response to Gram-positive bacterium,TRUE,4
positive regulation of autophagy,TRUE,4
positive regulation of transcription by RNA polymerase II,TRUE,4
"positive regulation of transcription, DNA-templated",TRUE,4
regulation of ribonuclease activity,TRUE,4
response to interferon-alpha,TRUE,4
ubiquitin-dependent protein catabolic process,TRUE,4
cellular response to DNA damage stimulus,TRUE,3
cellular response to interferon-gamma,TRUE,3
ISG15-protein conjugation,TRUE,3
modification-dependent protein catabolic process,TRUE,3
negative regulation of apoptotic process,TRUE,3
negative regulation of innate immune response,TRUE,3
"negative regulation of transcription, DNA-templated",TRUE,3
negative regulation of tyrosine phosphorylation of STAT protein,TRUE,3
positive regulation of DNA-binding transcription factor activity,TRUE,3
positive regulation of protein binding,TRUE,3
protein destabilization,TRUE,3
protein mono-ADP-ribosylation,TRUE,3
protein monoubiquitination,TRUE,3
toll-like receptor 4 signaling pathway,TRUE,3
adaptive immune response,TRUE,2
adhesion of symbiont to host,TRUE,2
antimicrobial humoral immune response mediated by antimicrobial peptide,TRUE,2
apoptotic process,TRUE,2
autophagosome assembly,TRUE,2
CAMKK-AMPK signaling cascade,TRUE,2
cellular response to exogenous dsRNA,TRUE,2
cellular response to tumor necrosis factor,TRUE,2
defense response to other organism,TRUE,2
